USAF Station Code,Site Name,State,Latitude,Longitude
727810,YAKIMA AIR TERMINAL,WA,46.567,-120.55
727815,STAMPEDE PASS,WA,47.283,-121.333
727825,WENATCHEE/PANGBORN,WA,47.4,-120.2
727826,EPHRATA AP FCWOS,WA,47.3,-119.517
727827,MOSES LAKE GRANT COUNTY AP,WA,47.2,-119.317
727830,LEWISTON NEZ PERCE CNTY AP,ID,46.367,-117.017
727834,COEUR D`ALENE(AWOS),ID,47.767,-116.817
727840,HANFORD,WA,46.567,-119.6
727845,PASCO,WA,46.267,-119.117
727846,WALLA WALLA CITY COUNTY AP,WA,46.1,-118.283
727850,SPOKANE INTERNATIONAL AP [CHENEY - UO],WA,47.49,-117.589
727855,FAIRCHILD AFB,WA,47.633,-117.65
727856,FELTS FLD,WA,47.683,-117.317
727857,PULLMAN/MOSCOW RGNL,WA,46.75,-117.117
727885,WILLIAM R FAIRCHILD,WA,48.117,-123.5
727910,ASTORIA REGIONAL AIRPORT,OR,46.15,-123.883
727920,OLYMPIA AIRPORT,WA,46.967,-122.9
727923,HOQUIAM AP,WA,46.983,-123.933
727924,KELSO WB AP,WA,46.133,-122.9
727926,TOLEDO-WINLOCK MEM,WA,46.483,-122.8
727928,BREMERTON NATIONAL,WA,47.483,-122.75
727930,SEATTLE SEATTLE-TACOMA INTL A,WA,47.467,-122.317
727934,RENTON MUNI,WA,47.483,-122.217
727935,SEATTLE BOEING FIELD [ISIS],WA,47.68,-122.25
727937,SNOHOMISH CO,WA,47.9,-122.283
727938,TACOMA NARROWS,WA,47.267,-122.583
727970,QUILLAYUTE STATE AIRPORT,WA,47.933,-124.567
727976,BELLINGHAM INTL AP,WA,48.8,-122.533
742060,TACOMA MCCHORD AFB,WA,47.15,-122.483
742070,GRAY AAF,WA,47.083,-122.583
742300,MILES CITY MUNICIPAL ARPT,MT,46.433,-105.883
743700,FORT DRUM/WHEELER-S,NY,44.05,-75.717
743920,NAVAL AIR STATION,ME,43.9,-69.933
743945,MANCHESTER AIRPORT,NH,42.933,-71.433
744655,AURORA MUNICIPAL,IL,41.767,-88.467
744860,NEW YORK J F KENNEDY INT'L AR,NY,40.65,-73.8
744864,REPUBLIC,NY,40.717,-73.417
744865,WESTHAMPTON GABRESKI AP,NY,40.85,-72.633
744904,LAWRENCE MUNI,MA,42.717,-71.117
744910,CHICOPEE FALLS WESTO,MA,42.2,-72.533
744915,WESTFIELD BARNES MUNI AP,MA,42.15,-72.717
745090,MOUNTAIN VIEW MOFFETT FLD NAS,CA,37.4,-122.05
745160,TRAVIS FIELD AFB,CA,38.267,-121.933
745700,DAYTON WRIGHT PATTERSON AFB,OH,39.833,-84.05
745940,ANDREWS AFB,MD,38.817,-76.867
745966,CAPE MAY CO,NJ,39,-74.917
745980,LANGLEY AFB,VA,37.083,-76.35
745985,MARTINSVILLE,VA,36.633,-80.017
746120,CHINA LAKE NAF,CA,35.683,-117.683
746710,FORT CAMPBELL AAF,KY,36.667,-87.483
746716,BOWLING GREEN WARREN CO AP,KY,36.983,-86.433
746930,FORT BRAGG SIMMONS AAF,NC,35.133,-78.933
746943,ELIZABETH CITY COAST GUARD AI [NREL],NC,36.3,-76.25
747020,LEMOORE REEVES NAS,CA,36.333,-119.95
747185,IMPERIAL,CA,32.833,-115.583
747187,PALM SPRINGS THERMAL AP,CA,33.633,-116.167
747188,BLYTHE RIVERSIDE CO ARPT,CA,33.617,-114.717
747320,HOLLOMAN AFB,NM,32.85,-106.1
747540,ENGLAND AFB,LA,31.317,-92.55
747685,GULFPORT BILOXI INT,MS,30.4,-89.067
747686,KEESLER AFB,MS,30.417,-88.917
747750,TYNDALL AFB,FL,30.067,-85.583
747770,VALPARAISO HURLBURT,FL,30.417,-86.683
747804,HUNTER AAF,GA,32,-81.15
747810,MOODY AFB/VALDOSTA,GA,30.967,-83.2
747880,MACDILL AFB,FL,27.85,-82.517
747900,SUMTER SHAW AFB,SC,33.967,-80.467
747910,MYRTLE BEACH AFB,SC,33.683,-78.933
747915,NORTH MYRTLE BEACH GRAND STRA,SC,33.817,-78.717
747946,NASA SHUTTLE FCLTY,FL,28.617,-80.717
785140,AQUADILLA/BORINQUEN,PR,18.5,-67.133
785145,EUGENIO MARIA DE HO,PR,18.25,-67.15
785203,MERCEDITA,PR,18,-66.55
785260,SAN JUAN INTL ARPT,PR,18.417,-66
785263,SAN JUAN L M MARIN INTL AP,PR,18.433,-66
785350,ROOSEVELT ROADS,PR,18.25,-65.633
785430,CHARLOTTE AMALIE HARRY S TRUM,VI,18.35,-64.967
911650,LIHUE AIRPORT,HI,21.983,-159.333
911760,KANEOHE BAY MCAS,HI,21.45,-157.783
911780,BARBERS POINT NAS,HI,21.317,-158.067
911820,HONOLULU INTL ARPT,HI,21.317,-157.933
911860,MOLOKAI (AMOS),HI,21.15,-157.1
911900,KAHULUI AIRPORT,HI,20.9,-156.433
911904,KAPALUA,HI,20.95,-156.633
911905,LANAI,HI,20.783,-156.95
911975,KONA INTL AT KEAHOL,HI,19.733,-156.05
912120,GUAM WFO,GU,13.483,144.8
912180,ANDERSEN AFB,GU,13.567,144.917
912850,HILO INTERNATIONAL AP,HI,19.717,-155.05
